text,sentiment
"Great phone, battery lasts long and camera is good",positive
"Terrible service, product arrived late and broken",negative
Average quality but good value for money,neutral
Excellent! Very satisfied with the purchase,positive
Not worth the price. Very disappointed,negative
"Decent product, meets expectations",neutral
"Amazing experience, highly recommend",positive
"Bad packaging, item damaged",negative
"Okay product, could be better",neutral
Superb build quality and fast delivery,positive
